Recording date:	2016/06/07
Recording time:	15:34:38
Recording resolution	1024 x 768

pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 120 Hz
sampletime: 8.33205667182 ms
accuracy (in pixels): LX=509.9068, LY=382.3034, RX=509.9308, RY=382.2862
precision (RMS noise in pixels): X=209.745083375, Y=172.68178827
distance between participant and display: 57.0 cm
fixation threshold: 43.7594828432 pixels
speed threshold: 1.02082144273 pixels/ms
accuracy threshold: 279.647443825 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
1499.8	819.8581	70.2097	0	829.5140	49.2321	0	0.8054	0.0778	
1508.1	818.5320	72.9916	0	830.4385	55.6757	0	0.8052	0.0838	
1516.5	817.3978	66.1104	0	829.8187	51.9468	0	0.8043	0.0769	
1524.8	818.2686	68.3549	0	830.0275	48.6234	0	0.8048	0.0762	
1533.1	818.2767	69.8667	0	830.8611	52.7607	0	0.8052	0.0798	
1541.4	814.5571	64.9225	0	829.7938	58.4591	0	0.8029	0.0803	
1549.8	819.7932	74.9564	0	828.1731	54.7411	0	0.8047	0.0844	
1558.2	818.8958	71.4992	0	826.9677	57.4487	0	0.8036	0.0840	
1566.4	818.7115	65.8077	0	827.2331	51.8720	0	0.8037	0.0766	
1574.8	811.9268	74.4790	0	822.0126	58.7055	0	0.7978	0.0867	
1583.1	790.0823	89.5464	0	797.8634	70.2263	0	0.7754	0.1040	
1591.5	730.4552	121.4012	0	743.4330	95.1856	0	0.7197	0.1410	
1599.7	678.9372	127.9052	0	701.4444	112.5071	0	0.6740	0.1565	
1608.1	629.8132	151.9454	0	645.3673	128.5069	0	0.6226	0.1826	
1616.4	578.7901	172.6944	0	592.1011	154.6832	0	0.5717	0.2131	
1624.8	525.8090	179.6941	0	547.2761	174.6943	0	0.5240	0.2307	
1633.1	480.4593	205.4965	0	490.2140	163.9215	0	0.4740	0.2405	
1641.4	432.6705	220.7251	0	443.8008	217.8311	0	0.4280	0.2855	
1649.7	402.2752	248.5654	0	405.4950	238.8496	0	0.3944	0.3173	
1658.1	378.0172	252.2596	0	382.9616	252.3000	0	0.3716	0.3285	
1666.5	389.7036	249.6091	0	388.4980	248.4292	0	0.3800	0.3242	
1674.8	391.4376	235.8274	0	381.0261	243.8218	0	0.3772	0.3123	
1683.1	384.9120	246.9151	0	375.0237	239.6307	0	0.3711	0.3168	
1691.4	387.0421	253.3806	0	376.7661	249.3848	0	0.3730	0.3273	
1699.8	388.3462	248.0297	0	377.4297	254.4777	0	0.3739	0.3272	
1708.1	386.1009	245.1340	0	377.7767	240.6555	0	0.3730	0.3163	
1716.4	389.1103	244.2724	0	380.0288	252.5305	0	0.3756	0.3234	
1724.7	386.0914	247.8538	0	377.9315	260.9299	0	0.3731	0.3312	
1733.1	385.5372	252.4284	0	379.1587	247.6512	0	0.3734	0.3256	
1741.4	385.3650	249.5908	0	379.5830	260.9479	0	0.3735	0.3324	
1749.8	382.7633	247.7458	0	379.2074	250.7798	0	0.3721	0.3246	
1758.1	379.6342	246.1888	0	381.5519	245.0497	0	0.3717	0.3198	
1766.4	383.7944	244.3659	0	380.6279	260.5437	0	0.3733	0.3287	
1774.8	382.5727	248.4804	0	376.7886	251.6178	0	0.3708	0.3256	
1783.1	383.8289	255.3548	0	377.9898	269.5815	0	0.3720	0.3418	
1791.5	386.8534	247.2647	0	377.6122	264.4482	0	0.3733	0.3331	
1799.7	383.2354	255.3505	0	381.3676	258.7589	0	0.3733	0.3347	
1808.1	386.9221	253.4308	0	380.3398	261.1417	0	0.3746	0.3350	
1816.4	383.5699	249.2881	0	376.9908	254.7250	0	0.3714	0.3281	
1824.8	386.9949	259.5488	0	380.1110	256.8929	0	0.3746	0.3362	
1833.0	385.0206	270.4535	0	382.0431	252.0704	0	0.3745	0.3402	
1841.4	367.4566	309.8875	0	396.8271	263.9058	0	0.3732	0.3736	
1849.7	347.7205	395.7822	0	333.0682	354.9954	0	0.3324	0.4888	
1858.1	336.1667	443.7321	0	332.2386	330.6845	0	0.3264	0.5042	
1866.4	326.8319	480.3544	0	325.1579	454.2805	0	0.3184	0.6085	
1874.7	334.0381	507.2144	0	318.5034	495.8715	0	0.3186	0.6531	
1883.0	337.9409	536.6272	0	328.3909	531.1110	0	0.3254	0.6951	
1891.4	331.5020	544.1307	0	328.5416	527.3330	0	0.3223	0.6976	
1899.8	335.5256	529.0622	0	327.0320	516.8297	0	0.3235	0.6809	
1908.0	333.9905	532.7449	0	322.6722	524.8636	0	0.3206	0.6885	
1916.4	335.1947	541.6431	0	327.6773	524.8064	0	0.3237	0.6943	
1924.7	335.3126	547.2371	0	332.8348	528.1258	0	0.3262	0.7001	
1933.1	333.2468	547.2977	0	336.6560	531.2307	0	0.3271	0.7022	
1941.4	338.8330	545.9477	0	326.2164	524.2966	0	0.3247	0.6968	
1949.7	335.9632	548.7872	0	328.4986	528.6395	0	0.3244	0.7014	
1958.0	333.8893	541.7109	0	328.1885	526.8518	0	0.3233	0.6957	
1966.4	337.0974	547.1137	0	335.4002	538.8286	0	0.3284	0.7070	
1974.7	339.3671	536.3222	0	327.9569	533.4669	0	0.3258	0.6965	
1983.1	337.3433	539.5561	0	332.4308	536.1036	0	0.3270	0.7003	
1991.4	335.0753	540.5388	0	333.0737	534.1137	0	0.3262	0.6996	
1999.7	336.6091	539.8734	0	333.5691	532.4510	0	0.3272	0.6981	
2008.1	339.1186	540.8234	0	328.7909	535.6155	0	0.3261	0.7008	
2016.4	335.4491	540.9933	0	325.3397	534.6686	0	0.3227	0.7003	
2024.7	338.4098	547.6404	0	336.7808	532.4976	0	0.3297	0.7032	
2033.0	333.3170	541.6079	0	324.4026	535.9477	0	0.3212	0.7015	
2041.4	334.1596	550.1334	0	326.9825	535.9605	0	0.3228	0.7071	
2049.7	338.7561	544.9557	0	337.7105	529.7400	0	0.3303	0.6997	
2058.1	392.5228	584.9741	0	376.4908	562.9175	0	0.3755	0.7473	
2066.3	439.7095	601.6720	0	418.9128	583.6166	0	0.4192	0.7717	
2074.7	478.5122	603.5085	0	459.5447	591.2497	0	0.4580	0.7778	
2083.0	525.4800	616.0985	0	500.9814	616.6880	0	0.5012	0.8026	
2091.4	568.7071	631.2429	0	545.9231	615.2332	0	0.5443	0.8115	
2099.7	613.0564	631.1273	0	592.7179	620.6472	0	0.5888	0.8150	
2108.0	656.5798	628.7126	0	645.6227	619.3725	0	0.6358	0.8126	
2116.3	706.2865	626.1453	0	704.0556	610.5154	0	0.6886	0.8051	
2124.7	744.1945	619.8258	0	746.4035	622.8500	0	0.7278	0.8090	
2133.1	781.7693	615.2164	0	780.0145	616.6845	0	0.7626	0.8020	
2141.3	796.4120	616.8113	0	786.9390	621.6849	0	0.7731	0.8063	
2149.7	801.6411	612.2121	0	782.1384	614.7025	0	0.7733	0.7988	
2158.0	798.8402	608.9805	0	783.2961	613.4246	0	0.7725	0.7958	
2166.4	795.5558	612.1741	0	787.0186	608.8288	0	0.7727	0.7949	
2174.7	794.3425	618.0341	0	783.7661	612.9474	0	0.7706	0.8014	
2183.0	788.6411	615.6051	0	785.1318	613.8470	0	0.7684	0.8004	
2191.3	796.8004	612.6975	0	779.9250	616.5845	0	0.7699	0.8003	
2199.7	793.1947	601.0155	0	779.0187	623.3958	0	0.7677	0.7971	
2208.0	787.7016	615.7279	0	782.6530	615.4875	0	0.7668	0.8016	
2216.3	795.6086	615.6272	0	781.2589	619.5475	0	0.7700	0.8042	
2224.7	792.6374	618.4269	0	786.0191	612.7244	0	0.7708	0.8015	
2233.0	790.1441	614.7632	0	783.6001	617.5146	0	0.7684	0.8023	
2241.4	796.2900	619.8212	0	778.6613	613.8866	0	0.7690	0.8032	
2249.7	795.4154	616.7930	0	780.0862	613.9024	0	0.7693	0.8012	
2258.0	786.0783	611.6200	0	786.8723	608.2047	0	0.7680	0.7942	
2266.3	800.4904	606.6024	0	784.0941	617.8384	0	0.7737	0.7972	
2274.7	794.9384	609.6113	0	779.5017	615.5144	0	0.7688	0.7976	
2283.0	809.6639	613.0570	0	782.1604	613.7828	0	0.7773	0.7987	
2291.4	799.7345	619.5325	0	787.7876	604.0492	0	0.7752	0.7966	
2299.7	791.2080	615.1824	0	784.3204	616.7708	0	0.7693	0.8021	
